#last column: 1=OK, 2=settler and 3=solides
1    168    3    1814    15   0.001    1879   1
2    156    3    1358    14   0.01     1425   1
3    176    3.5  2200    16   0.005    2140   1
4    256    3    2070    27   0.2      2700   1
5    230    5    1410    131  3.5      1575   2
6    116    3    1238    104  0.06     1221   2
7    242    7    1315    104  0.01     1434   2
8    242    4.5  1183    78   0.02     1374   2
9    174    2.5  1110    73   1.5      1256   2
10  1004    35   1218    81   1172     33.3   3
11  1228    46   1889    82.4 1932     43.1   3
12   964    17   2120    20   1030     1966   3
13  2008    32   1257    13   1038     1289   3
